,age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,previous,poutcome,deposit
29,28,blue-collar,single,secondary,no,759,yes,no,unknown,may,710,1,0,unknown,yes
30,32,blue-collar,married,secondary,yes,-1,yes,no,unknown,may,653,1,0,unknown,yes
31,60,technician,married,primary,no,65,yes,no,unknown,may,1028,2,0,unknown,yes
32,26,blue-collar,single,secondary,no,82,yes,no,unknown,may,654,1,0,unknown,yes
33,40,blue-collar,married,secondary,no,10,yes,no,unknown,may,1692,2,0,unknown,yes
34,33,blue-collar,divorced,primary,no,390,yes,no,unknown,may,665,2,0,unknown,yes
35,32,management,single,tertiary,no,311,no,no,unknown,may,757,2,0,unknown,yes
36,35,blue-collar,married,primary,no,414,no,no,unknown,may,504,4,0,unknown,yes
37,33,management,divorced,secondary,no,5,yes,no,unknown,may,1346,1,0,unknown,yes
38,38,management,married,tertiary,no,119,yes,no,unknown,may,568,4,0,unknown,yes
39,23,entrepreneur,single,primary,no,4,yes,no,unknown,may,395,2,0,unknown,yes
40,60,blue-collar,married,primary,no,1262,yes,yes,unknown,may,1015,1,0,unknown,yes
41,48,management,married,tertiary,no,1949,yes,no,unknown,may,683,2,0,unknown,yes
42,45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,may,470,1,0,unknown,yes
43,36,blue-collar,married,secondary,no,1165,yes,no,unknown,may,1001,4,0,unknown,yes
44,52,management,married,unknown,no,2240,yes,no,unknown,may,845,1,0,unknown,yes
45,35,blue-collar,divorced,primary,no,300,yes,no,unknown,may,945,2,0,unknown,yes
46,43,technician,married,secondary,no,3285,yes,no,unknown,may,1721,2,0,unknown,yes
47,52,housemaid,married,secondary,no,3923,yes,no,unknown,may,942,3,0,unknown,yes
48,53,technician,divorced,primary,no,1443,yes,no,unknown,may,476,1,0,unknown,yes
49,48,blue-collar,divorced,primary,no,24,yes,no,unknown,may,832,1,0,unknown,yes
50,41,blue-collar,single,primary,no,1618,yes,no,unknown,may,1553,1,0,unknown,yes
51,39,management,divorced,tertiary,no,517,yes,yes,unknown,may,1328,1,0,unknown,yes
52,59,retired,married,secondary,no,1521,yes,yes,unknown,may,1125,2,0,unknown,yes
53,41,blue-collar,married,secondary,no,2823,yes,no,unknown,may,858,1,0,unknown,yes
54,48,blue-collar,married,secondary,no,1405,yes,no,unknown,may,629,2,0,unknown,yes
55,40,admin.,married,secondary,no,1535,yes,no,unknown,may,704,1,0,unknown,yes
56,48,blue-collar,married,secondary,no,1596,yes,no,unknown,may,760,1,0,unknown,yes
57,60,retired,married,primary,no,1542,yes,no,unknown,may,930,1,0,unknown,yes
58,40,technician,single,unknown,no,3652,yes,no,unknown,may,1028,2,0,unknown,yes
59,57,technician,married,tertiary,no,-1,no,no,unknown,may,850,2,0,unknown,yes
60,51,blue-collar,married,secondary,no,7180,yes,no,unknown,may,927,1,0,unknown,yes
61,41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,may,1423,3,0,unknown,yes
62,41,blue-collar,married,secondary,no,1384,yes,no,unknown,may,1162,4,0,unknown,yes
63,52,blue-collar,divorced,primary,no,-191,yes,no,unknown,may,755,1,0,unknown,yes
64,59,blue-collar,married,primary,no,320,yes,no,unknown,may,695,1,0,unknown,yes
65,44,blue-collar,married,unknown,no,146,yes,no,unknown,may,483,1,0,unknown,yes
66,49,unknown,married,primary,no,341,yes,yes,unknown,may,520,2,0,unknown,yes
67,40,services,married,primary,no,-9,yes,no,unknown,may,920,2,0,unknown,yes
68,41,admin.,married,primary,no,-306,yes,no,unknown,may,500,1,0,unknown,yes
69,44,technician,married,tertiary,no,4580,yes,no,unknown,may,911,2,0,unknown,yes
70,60,services,single,primary,no,313,yes,no,unknown,may,920,2,0,unknown,yes
71,29,management,married,tertiary,no,10576,no,no,unknown,may,1224,2,0,unknown,yes
72,41,retired,divorced,primary,no,-233,yes,no,unknown,may,1156,2,0,unknown,yes
73,41,blue-collar,married,primary,no,2453,yes,no,unknown,may,1052,1,0,unknown,yes
74,42,technician,single,secondary,no,1364,yes,no,unknown,may,1867,6,0,unknown,yes
75,36,services,single,unknown,no,281,yes,no,unknown,may,515,1,0,unknown,yes
76,39,technician,married,tertiary,no,94,yes,yes,unknown,may,813,1,0,unknown,yes
77,31,self-employed,single,tertiary,no,144,yes,no,unknown,may,676,1,0,unknown,yes
78,26,blue-collar,married,secondary,no,246,yes,no,unknown,may,1143,3,0,unknown,yes
79,31,blue-collar,married,secondary,no,92,yes,no,unknown,may,688,1,0,unknown,yes
80,29,admin.,single,secondary,no,163,yes,yes,unknown,may,803,1,0,unknown,yes
81,37,services,divorced,secondary,no,49,yes,no,unknown,may,619,2,0,unknown,yes
82,33,blue-collar,single,secondary,no,-416,yes,no,unknown,may,767,2,0,unknown,yes
83,24,technician,single,secondary,no,409,yes,no,unknown,may,912,1,0,unknown,yes
84,50,admin.,divorced,secondary,no,363,yes,no,unknown,may,1340,1,0,unknown,yes
85,27,technician,single,tertiary,no,3706,yes,no,unknown,may,897,1,0,unknown,yes
86,54,management,single,tertiary,no,4393,yes,no,unknown,may,1297,3,0,unknown,yes
87,30,technician,single,secondary,no,863,yes,no,unknown,may,1193,5,0,unknown,yes
88,34,blue-collar,married,primary,no,695,yes,yes,unknown,may,1064,4,0,unknown,yes
89,37,management,single,secondary,no,792,yes,no,unknown,may,1187,4,0,unknown,yes
90,41,admin.,single,secondary,no,1020,yes,no,unknown,may,882,1,0,unknown,yes
91,47,blue-collar,married,secondary,no,863,yes,no,unknown,may,943,2,0,unknown,yes
92,31,admin.,married,secondary,no,97,yes,no,unknown,may,607,1,0,unknown,yes
93,31,blue-collar,married,secondary,no,754,yes,no,unknown,may,1022,4,0,unknown,yes
94,43,services,divorced,secondary,no,1040,yes,no,unknown,may,552,3,0,unknown,yes
95,37,management,divorced,tertiary,no,122,yes,no,unknown,may,1622,2,0,unknown,yes
96,30,technician,single,tertiary,no,880,yes,yes,unknown,may,967,6,0,unknown,yes
97,41,technician,married,secondary,no,501,yes,no,unknown,may,579,5,0,unknown,yes
98,36,blue-collar,married,secondary,no,4438,yes,no,unknown,may,446,1,0,unknown,yes
99,35,blue-collar,divorced,secondary,no,0,yes,no,unknown,may,1205,1,0,unknown,yes
100,29,services,single,secondary,no,271,yes,no,unknown,may,1882,2,0,unknown,yes
101,35,blue-collar,married,primary,no,102,yes,no,unknown,may,1334,1,0,unknown,yes
102,31,blue-collar,married,secondary,no,2,yes,no,unknown,may,182,2,0,unknown,yes
103,35,services,married,secondary,no,4170,yes,no,unknown,may,1777,1,0,unknown,yes
104,34,technician,single,secondary,no,85,yes,no,unknown,may,1182,4,0,unknown,yes
105,31,admin.,single,secondary,no,431,yes,yes,unknown,may,1045,1,0,unknown,yes
106,44,technician,divorced,secondary,no,982,yes,no,unknown,may,650,3,0,unknown,yes
107,36,blue-collar,married,primary,no,408,yes,yes,unknown,may,1063,2,0,unknown,yes
108,35,blue-collar,married,unknown,no,4822,yes,no,unknown,may,843,2,0,unknown,yes
109,41,blue-collar,married,primary,no,1250,yes,no,unknown,may,1392,2,0,unknown,yes
110,31,blue-collar,single,primary,no,216,yes,no,unknown,may,565,1,0,unknown,yes
111,34,blue-collar,married,secondary,no,1207,yes,no,unknown,may,905,1,0,unknown,yes
112,32,technician,married,secondary,no,791,yes,no,unknown,may,783,2,0,unknown,yes
113,36,management,married,tertiary,no,849,yes,yes,unknown,may,958,2,0,unknown,yes
114,30,blue-collar,single,secondary,yes,239,yes,no,unknown,may,412,1,0,unknown,yes
115,37,technician,single,secondary,no,1211,yes,no,unknown,may,795,1,0,unknown,yes
116,36,blue-collar,married,primary,no,599,yes,no,unknown,may,649,2,0,unknown,yes
117,31,management,single,tertiary,no,825,yes,no,unknown,may,506,2,0,unknown,yes
118,27,technician,married,secondary,no,2183,yes,yes,unknown,may,857,1,0,unknown,yes
119,34,retired,married,primary,no,4499,no,no,unknown,may,1681,1,0,unknown,yes
120,30,technician,single,tertiary,no,1289,yes,no,unknown,may,1697,2,0,unknown,yes
121,32,technician,single,tertiary,no,4665,yes,no,unknown,may,860,2,0,unknown,yes
122,37,technician,single,secondary,no,3326,yes,no,unknown,may,799,1,0,unknown,yes
123,32,blue-collar,married,secondary,no,783,yes,no,unknown,may,923,3,0,unknown,yes
124,33,blue-collar,married,secondary,no,0,yes,no,unknown,may,521,3,0,unknown,yes
125,35,blue-collar,married,primary,no,994,yes,no,unknown,may,1349,8,0,unknown,yes
126,35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,may,736,2,0,unknown,yes
127,30,blue-collar,single,secondary,no,239,yes,no,unknown,may,785,1,0,unknown,yes
128,45,blue-collar,divorced,primary,no,-311,yes,no,unknown,may,1030,1,0,unknown,yes
129,45,admin.,married,secondary,no,149,yes,no,unknown,may,893,3,0,unknown,yes
130,33,blue-collar,married,secondary,no,1464,yes,no,unknown,may,588,3,0,unknown,yes
131,44,management,divorced,tertiary,no,5773,no,no,unknown,may,597,6,0,unknown,yes
132,40,blue-collar,married,primary,no,278,yes,no,unknown,may,1015,3,0,unknown,yes
133,31,blue-collar,married,secondary,no,2910,yes,no,unknown,may,1392,2,0,unknown,yes
134,30,technician,married,tertiary,no,541,yes,no,unknown,may,414,2,0,unknown,yes
135,44,technician,divorced,secondary,no,1262,yes,no,unknown,may,788,11,0,unknown,yes
136,34,services,married,secondary,no,-538,yes,no,unknown,may,682,1,0,unknown,yes
137,37,blue-collar,married,secondary,no,125,no,no,unknown,may,679,2,0,unknown,yes
138,28,self-employed,single,tertiary,no,0,yes,no,unknown,may,1560,2,0,unknown,yes
139,32,admin.,single,secondary,no,620,yes,no,unknown,may,1234,3,0,unknown,yes
140,37,blue-collar,divorced,secondary,no,316,yes,no,unknown,may,642,2,0,unknown,yes
141,34,management,married,tertiary,no,2287,yes,no,unknown,may,895,4,0,unknown,yes
142,38,admin.,divorced,secondary,no,198,yes,no,unknown,may,431,2,0,unknown,yes
143,28,admin.,single,secondary,no,460,yes,no,unknown,may,741,6,0,unknown,yes
144,31,management,divorced,tertiary,no,1145,yes,no,unknown,may,1272,4,0,unknown,yes
145,59,services,married,secondary,no,-22,yes,no,unknown,may,748,3,0,unknown,yes
146,24,blue-collar,married,secondary,no,685,yes,no,unknown,may,896,3,0,unknown,yes
147,26,services,single,secondary,no,901,yes,no,unknown,may,764,2,0,unknown,yes
148,59,retired,single,secondary,no,351,yes,no,unknown,may,1063,5,0,unknown,yes
149,30,entrepreneur,single,primary,no,0,yes,yes,unknown,may,1051,1,0,unknown,yes
150,37,admin.,married,secondary,no,274,yes,no,unknown,may,731,3,0,unknown,yes
151,30,admin.,single,secondary,no,-213,yes,yes,unknown,may,751,1,0,unknown,yes
152,25,blue-collar,married,secondary,no,97,yes,no,unknown,may,709,1,0,unknown,yes
153,44,services,divorced,secondary,no,51,yes,yes,unknown,may,3094,2,0,unknown,yes
154,29,management,married,tertiary,no,314,no,no,unknown,may,938,2,0,unknown,yes
155,26,management,single,tertiary,no,6840,yes,no,unknown,may,1560,2,0,unknown,yes
156,26,technician,single,secondary,no,668,yes,no,unknown,may,576,3,0,unknown,yes
157,27,services,single,secondary,no,54,yes,no,unknown,may,543,2,0,unknown,yes
158,25,self-employed,single,secondary,no,1242,yes,no,unknown,may,615,2,0,unknown,yes
159,28,management,married,secondary,no,292,yes,no,unknown,may,507,1,0,unknown,yes
160,23,services,single,secondary,no,665,yes,no,unknown,may,1183,1,0,unknown,yes
161,34,management,single,tertiary,no,1058,yes,no,unknown,may,864,2,0,unknown,yes
162,28,student,single,secondary,no,949,yes,no,unknown,may,1730,1,0,unknown,yes
163,51,entrepreneur,married,unknown,no,606,yes,no,unknown,may,560,9,0,unknown,yes
164,35,blue-collar,married,secondary,no,0,yes,yes,unknown,may,543,1,0,unknown,yes
165,35,admin.,married,secondary,no,404,yes,no,unknown,may,539,1,0,unknown,yes
166,56,blue-collar,married,secondary,no,249,yes,no,unknown,may,791,2,0,unknown,yes
167,45,unemployed,divorced,secondary,no,3354,yes,no,unknown,may,746,1,0,unknown,yes
168,60,blue-collar,divorced,secondary,no,0,yes,no,unknown,may,1207,1,0,unknown,yes
169,56,technician,married,secondary,no,589,yes,no,unknown,may,535,2,0,unknown,yes
170,27,management,single,tertiary,no,12956,yes,no,unknown,may,789,3,0,unknown,yes
171,30,admin.,married,secondary,no,873,yes,no,unknown,may,792,3,0,unknown,yes
172,45,blue-collar,divorced,primary,no,594,yes,no,unknown,may,833,2,0,unknown,yes
173,29,blue-collar,single,secondary,no,-20,yes,no,unknown,may,814,2,0,unknown,yes
174,38,management,divorced,tertiary,no,4692,yes,no,unknown,may,1363,2,0,unknown,yes
175,30,blue-collar,married,secondary,no,486,yes,no,unknown,may,1109,3,0,unknown,yes
176,44,blue-collar,single,primary,no,1593,yes,no,unknown,may,828,3,0,unknown,yes
177,36,management,single,tertiary,no,7606,yes,no,unknown,may,917,1,0,unknown,yes
178,38,technician,married,secondary,no,226,yes,no,unknown,may,762,3,0,unknown,yes
179,36,blue-collar,single,secondary,no,366,yes,yes,unknown,may,1133,2,0,unknown,yes
180,37,management,divorced,secondary,no,16,yes,no,unknown,may,638,1,0,unknown,yes
181,35,management,single,tertiary,no,565,yes,no,unknown,may,763,1,0,unknown,yes
182,38,admin.,divorced,secondary,no,19,yes,no,unknown,may,604,2,0,unknown,yes
183,40,services,married,primary,no,1082,yes,no,unknown,may,854,2,0,unknown,yes
184,42,unemployed,divorced,secondary,no,1713,yes,no,unknown,may,855,2,0,unknown,yes
185,46,management,divorced,tertiary,no,14481,yes,no,unknown,may,1269,1,0,unknown,yes
186,35,technician,divorced,secondary,no,5724,yes,no,unknown,may,691,10,0,unknown,yes
187,34,technician,divorced,secondary,no,1451,yes,no,unknown,may,1097,15,0,unknown,yes
188,32,services,married,secondary,no,-34,yes,no,unknown,may,1236,2,0,unknown,yes
189,50,unemployed,married,secondary,no,3674,yes,no,unknown,may,886,3,0,unknown,yes
190,35,blue-collar,married,secondary,no,698,yes,yes,unknown,may,1343,3,0,unknown,yes
191,36,technician,single,secondary,no,4136,yes,no,unknown,may,812,3,0,unknown,yes
192,53,blue-collar,divorced,primary,no,2656,yes,no,unknown,may,1980,2,0,unknown,yes
193,46,management,single,tertiary,no,2904,yes,no,unknown,may,984,2,0,unknown,yes
194,26,management,single,tertiary,no,1004,yes,no,unknown,may,228,2,0,unknown,yes
195,45,technician,single,secondary,no,410,yes,no,unknown,may,891,4,0,unknown,yes
196,31,unemployed,divorced,primary,no,0,yes,no,unknown,may,745,12,0,unknown,yes
197,29,management,single,tertiary,no,0,yes,no,unknown,may,539,12,0,unknown,yes
198,53,entrepreneur,single,secondary,no,62,yes,no,unknown,may,1044,5,0,unknown,yes
199,27,blue-collar,married,primary,no,416,yes,no,unknown,may,1193,2,0,unknown,yes
200,39,management,married,tertiary,no,2763,yes,no,unknown,jun,526,2,0,unknown,yes
201,36,services,married,secondary,no,2984,yes,no,unknown,jun,394,1,0,unknown,yes
202,41,blue-collar,married,primary,no,143,yes,yes,unknown,jun,659,2,0,unknown,yes
203,36,services,married,primary,no,0,yes,no,unknown,jun,1036,1,0,unknown,yes
204,32,technician,married,secondary,no,696,yes,no,unknown,jun,815,1,0,unknown,yes
205,35,services,married,secondary,no,152,yes,no,unknown,jun,563,1,0,unknown,yes
206,36,management,single,tertiary,no,-78,yes,no,unknown,jun,1068,1,0,unknown,yes
207,35,management,married,tertiary,no,867,yes,no,unknown,jun,230,3,0,unknown,yes
208,30,blue-collar,single,secondary,no,953,yes,no,unknown,jun,747,2,0,unknown,yes
209,42,blue-collar,married,secondary,no,443,yes,no,unknown,jun,671,5,0,unknown,yes
210,42,technician,single,secondary,yes,-1129,yes,no,unknown,jun,555,5,0,unknown,yes
211,32,blue-collar,married,primary,no,415,yes,no,unknown,jun,777,4,0,unknown,yes
212,29,blue-collar,single,secondary,no,260,yes,no,unknown,jun,707,14,0,unknown,yes
213,44,management,divorced,tertiary,yes,-411,yes,no,unknown,jun,432,4,0,unknown,yes
214,32,technician,single,secondary,no,1279,yes,no,unknown,jun,1173,3,0,unknown,yes
215,31,unemployed,married,secondary,no,86,yes,yes,unknown,jun,963,2,0,unknown,yes
216,40,self-employed,married,secondary,yes,-754,yes,yes,unknown,jun,941,3,0,unknown,yes
217,43,entrepreneur,married,secondary,no,0,no,no,unknown,jun,1025,7,0,unknown,yes
218,27,management,single,secondary,no,178,yes,no,unknown,jun,732,2,0,unknown,yes
219,37,services,single,secondary,no,278,yes,no,unknown,jun,1045,3,0,unknown,yes
220,23,services,single,secondary,no,425,yes,no,unknown,jun,768,1,0,unknown,yes
221,25,management,married,primary,no,168,yes,no,unknown,jun,801,1,0,unknown,yes
222,26,blue-collar,single,secondary,yes,-36,yes,no,unknown,jun,482,2,0,unknown,yes
223,47,blue-collar,divorced,primary,no,126,yes,no,unknown,jun,2456,2,0,unknown,yes
224,35,admin.,married,secondary,no,-87,yes,no,unknown,jun,1363,7,0,unknown,yes
225,32,technician,single,tertiary,no,6281,yes,no,unknown,jun,1336,4,0,unknown,yes
226,45,management,divorced,secondary,no,644,yes,no,unknown,jun,633,1,0,unknown,yes
227,30,admin.,divorced,secondary,no,377,yes,no,unknown,jun,524,15,0,unknown,yes
228,29,services,single,secondary,no,-271,yes,no,unknown,jun,578,1,0,unknown,yes
229,38,blue-collar,married,primary,no,5839,yes,no,unknown,jun,984,2,0,unknown,yes
230,23,blue-collar,single,secondary,no,492,yes,no,unknown,jun,638,1,0,unknown,yes
231,27,management,single,tertiary,no,99,yes,no,unknown,jun,767,2,0,unknown,yes
232,27,management,single,tertiary,yes,-713,yes,no,unknown,jun,525,2,0,unknown,yes
233,29,services,single,secondary,no,32,yes,no,unknown,jun,563,1,0,unknown,yes
234,30,self-employed,married,tertiary,no,543,yes,yes,unknown,jun,1449,6,0,unknown,yes
235,36,blue-collar,married,primary,no,403,yes,no,unknown,jun,920,1,0,unknown,yes
236,35,admin.,divorced,secondary,no,437,yes,no,unknown,jun,908,1,0,unknown,yes
237,36,blue-collar,married,secondary,no,1772,no,no,unknown,jun,208,1,0,unknown,yes
238,59,retired,divorced,primary,no,-88,yes,no,unknown,jun,910,2,0,unknown,yes
239,47,entrepreneur,married,secondary,no,0,no,no,unknown,jun,1446,1,0,unknown,yes
240,58,entrepreneur,married,tertiary,no,853,no,no,unknown,jun,1149,2,0,unknown,yes
241,37,management,single,tertiary,no,240,no,no,unknown,jun,1123,1,0,unknown,yes
242,46,admin.,single,secondary,no,849,yes,no,unknown,jun,508,2,0,unknown,yes
243,43,blue-collar,single,secondary,no,318,yes,no,unknown,jun,736,2,0,unknown,yes
244,27,management,single,tertiary,no,703,yes,no,unknown,jun,590,3,0,unknown,yes
245,38,services,divorced,secondary,no,61,no,no,unknown,jun,636,1,0,unknown,yes
246,53,housemaid,married,primary,no,104,no,yes,unknown,jun,701,1,0,unknown,yes
247,47,blue-collar,married,secondary,no,1996,no,no,unknown,jun,761,2,0,unknown,yes
248,56,housemaid,divorced,primary,yes,1238,no,no,unknown,jun,1558,1,0,unknown,yes
249,41,housemaid,married,secondary,no,879,no,no,unknown,jun,1053,2,0,unknown,yes
250,29,self-employed,married,secondary,no,425,yes,no,unknown,jun,562,15,0,unknown,yes
251,50,technician,married,secondary,no,416,yes,no,unknown,jun,494,5,0,unknown,yes
252,45,blue-collar,divorced,primary,no,844,no,no,unknown,jun,1018,3,0,unknown,yes
253,35,blue-collar,married,secondary,no,860,yes,no,unknown,jun,884,4,0,unknown,yes
254,26,technician,single,secondary,no,639,yes,no,unknown,jun,709,5,0,unknown,yes
255,26,admin.,married,secondary,no,710,yes,yes,unknown,jun,1276,2,0,unknown,yes
256,37,blue-collar,married,unknown,no,1508,no,yes,unknown,jun,381,2,0,unknown,yes
257,30,admin.,single,secondary,no,223,yes,no,unknown,jun,862,11,0,unknown,yes
258,38,management,single,tertiary,no,619,yes,no,unknown,jun,460,4,0,unknown,yes
259,37,services,divorced,secondary,no,319,yes,no,unknown,jun,467,3,0,unknown,yes
260,53,technician,married,secondary,no,480,no,no,unknown,jun,648,2,0,unknown,yes
261,29,blue-collar,single,primary,no,213,yes,no,unknown,jun,2653,3,0,unknown,yes
262,35,management,single,tertiary,no,68,no,no,unknown,jun,1085,1,0,unknown,yes
263,28,blue-collar,married,secondary,no,2788,yes,no,unknown,jun,369,2,0,unknown,yes
264,55,blue-collar,married,unknown,no,7561,no,no,unknown,jun,685,3,0,unknown,yes
265,49,management,divorced,secondary,no,-46,yes,no,unknown,jun,1055,10,0,unknown,yes
266,50,services,married,secondary,no,1595,no,no,unknown,jun,882,1,0,unknown,yes
267,43,management,single,tertiary,no,1046,no,no,unknown,jun,901,1,0,unknown,yes
268,58,self-employed,divorced,tertiary,no,1382,no,no,unknown,jun,700,1,0,unknown,yes
269,38,technician,married,primary,no,217,yes,no,unknown,jun,491,6,0,unknown,yes
270,48,blue-collar,divorced,primary,no,183,no,no,unknown,jun,940,1,0,unknown,yes
271,59,management,married,secondary,no,1321,no,no,unknown,jun,3881,3,0,unknown,yes
272,58,blue-collar,married,secondary,no,25,no,no,unknown,jun,486,3,0,unknown,yes
273,36,self-employed,single,tertiary,no,4844,no,no,unknown,jun,1137,3,0,unknown,yes
274,42,entrepreneur,married,tertiary,no,5345,no,no,unknown,jun,878,3,0,unknown,yes
275,41,admin.,single,secondary,no,812,no,yes,unknown,jun,583,4,0,unknown,yes
276,42,admin.,married,secondary,no,105,no,no,unknown,jun,1159,4,0,unknown,yes
277,39,management,married,tertiary,no,-190,no,yes,unknown,jun,893,8,0,unknown,yes
278,57,housemaid,married,primary,no,625,no,yes,unknown,jun,867,1,0,unknown,yes
279,52,retired,married,unknown,no,293,no,no,unknown,jun,706,1,0,unknown,yes
280,59,retired,married,unknown,no,1033,no,no,unknown,jun,1199,1,0,unknown,yes
281,56,blue-collar,married,secondary,no,1210,no,no,unknown,jun,935,1,0,unknown,yes
282,49,management,married,tertiary,no,64,no,no,unknown,jun,586,1,0,unknown,yes
283,35,blue-collar,divorced,unknown,no,164,no,no,unknown,jun,967,2,0,unknown,yes
284,36,unemployed,married,secondary,no,1766,no,no,unknown,jun,595,2,0,unknown,yes
285,40,admin.,single,tertiary,no,1248,no,no,unknown,jun,1290,2,0,unknown,yes
286,55,blue-collar,married,secondary,no,0,no,no,unknown,jun,614,2,0,unknown,yes
287,58,admin.,married,secondary,no,826,no,no,unknown,jun,885,1,0,unknown,yes
288,39,self-employed,married,tertiary,no,2630,no,no,unknown,jun,651,5,0,unknown,yes
289,47,housemaid,single,tertiary,no,3727,no,no,unknown,jun,993,6,0,unknown,yes
290,40,management,married,secondary,no,406,yes,no,unknown,jun,577,2,0,unknown,yes
291,35,blue-collar,married,tertiary,no,2999,no,no,unknown,jun,1141,6,0,unknown,yes
292,48,blue-collar,married,secondary,no,1000,yes,no,unknown,jun,1268,2,0,unknown,yes
293,48,management,divorced,tertiary,no,503,no,yes,unknown,jun,1243,7,0,unknown,yes
294,24,blue-collar,single,secondary,yes,-203,yes,no,unknown,jun,465,3,0,unknown,yes
295,49,blue-collar,married,primary,no,361,yes,no,unknown,jun,513,2,0,unknown,yes
296,36,blue-collar,married,secondary,no,274,yes,no,unknown,jun,686,11,0,unknown,yes
297,52,retired,divorced,tertiary,no,3687,yes,yes,unknown,jun,741,4,0,unknown,yes
298,42,entrepreneur,single,unknown,no,323,no,no,unknown,jun,617,1,0,unknown,yes
299,36,services,married,secondary,no,981,no,no,unknown,jun,1093,1,0,unknown,yes
300,36,blue-collar,divorced,secondary,no,638,yes,no,unknown,jun,1395,2,0,unknown,yes
301,48,unemployed,single,tertiary,no,3229,no,no,unknown,jun,1089,1,0,unknown,yes
302,51,management,single,secondary,no,1610,yes,no,unknown,jun,1248,3,0,unknown,yes
303,51,blue-collar,married,secondary,no,33,no,yes,unknown,jun,721,3,0,unknown,yes
304,46,technician,married,secondary,no,536,yes,no,unknown,jun,750,2,0,unknown,yes
305,37,management,married,tertiary,no,0,no,no,unknown,jun,637,6,0,unknown,yes
306,36,entrepreneur,married,tertiary,no,3057,no,no,unknown,jun,2769,4,0,unknown,yes
307,47,management,married,secondary,no,2892,no,no,unknown,jun,556,1,0,unknown,yes
308,40,technician,divorced,tertiary,no,0,no,no,unknown,jun,522,1,0,unknown,yes
309,38,student,single,tertiary,no,3316,no,no,unknown,jun,1345,3,0,unknown,yes
310,40,management,married,secondary,no,106,no,no,unknown,jun,676,2,0,unknown,yes
311,39,blue-collar,married,primary,no,2303,yes,no,unknown,jun,775,3,0,unknown,yes
312,60,management,married,tertiary,no,3301,no,no,unknown,jun,2621,3,0,unknown,yes
313,39,self-employed,single,tertiary,no,426,no,no,unknown,jun,1029,1,0,unknown,yes
314,51,services,divorced,secondary,no,9,no,no,unknown,jun,371,2,0,unknown,yes
315,27,admin.,married,secondary,no,-97,yes,no,unknown,jun,1528,2,0,unknown,yes
316,41,management,single,tertiary,no,11008,no,no,unknown,jun,1540,1,0,unknown,yes
317,42,blue-collar,single,primary,no,4930,no,no,unknown,jun,973,1,0,unknown,yes
318,41,entrepreneur,married,secondary,no,707,no,no,unknown,jun,707,1,0,unknown,yes
