age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,previous,poutcome,deposit
28,blue-collar,single,secondary,no,28,yes,no,cellular,may,91,1,0,unknown,no
60,retired,divorced,tertiary,no,966,yes,no,cellular,jul,330,1,4,success,yes
31,services,married,secondary,no,326,no,no,cellular,dec,161,2,0,unknown,yes
40,admin.,divorced,secondary,no,178,yes,no,cellular,may,202,2,0,unknown,no
38,technician,single,secondary,no,444,yes,no,cellular,jan,225,2,0,unknown,no
59,self-employed,married,tertiary,no,2474,no,no,cellular,nov,398,2,0,unknown,yes
42,management,married,tertiary,no,1436,no,no,unknown,oct,339,1,0,unknown,yes
33,services,married,secondary,no,65,no,yes,unknown,jul,685,1,0,unknown,yes
39,services,single,secondary,no,299,yes,no,unknown,may,57,1,0,unknown,no
28,management,single,tertiary,no,432,no,no,cellular,sep,855,1,4,success,yes
52,technician,married,secondary,no,321,yes,no,cellular,feb,218,1,5,failure,yes
30,entrepreneur,married,secondary,no,2403,yes,no,unknown,jun,133,2,0,unknown,no
43,technician,single,secondary,no,666,yes,no,unknown,may,47,1,0,unknown,no
31,management,single,secondary,no,1436,no,no,cellular,aug,512,2,0,unknown,no
51,blue-collar,married,primary,no,106,no,no,telephone,apr,480,1,0,unknown,yes
38,services,married,secondary,no,2783,yes,no,unknown,jun,601,1,0,unknown,yes
25,management,single,tertiary,no,1310,no,no,cellular,may,179,1,0,unknown,yes
28,admin.,single,secondary,no,418,yes,no,unknown,may,739,6,0,unknown,yes
33,self-employed,single,tertiary,no,-87,yes,no,cellular,may,785,1,0,unknown,yes
44,technician,divorced,secondary,no,2471,no,no,cellular,aug,903,3,0,unknown,yes
31,management,single,tertiary,no,1997,no,no,cellular,apr,217,1,0,unknown,yes
38,services,married,secondary,no,3180,yes,no,unknown,may,145,2,0,unknown,no
19,student,single,unknown,no,708,no,no,cellular,nov,242,2,0,unknown,yes
35,blue-collar,married,primary,no,486,yes,no,cellular,may,92,2,0,unknown,no
61,retired,married,secondary,no,-12,no,no,cellular,oct,130,1,0,unknown,yes
31,management,single,tertiary,no,40,no,no,cellular,aug,157,2,0,unknown,no
50,admin.,divorced,secondary,no,703,yes,no,telephone,jul,56,8,0,unknown,no
42,technician,married,secondary,no,1174,no,yes,cellular,aug,118,8,0,unknown,no
27,technician,married,tertiary,no,-62,yes,yes,unknown,may,265,2,0,unknown,no
56,management,married,tertiary,no,385,yes,yes,cellular,may,223,1,3,failure,no
83,retired,married,primary,no,8627,no,no,cellular,jul,451,1,0,unknown,yes
39,admin.,single,secondary,no,574,no,no,cellular,jul,1334,2,0,unknown,yes
38,management,married,secondary,no,373,no,no,cellular,apr,440,1,1,success,yes
52,technician,married,secondary,no,133,no,no,cellular,aug,92,5,0,unknown,no
28,self-employed,single,tertiary,no,416,no,no,cellular,nov,439,2,4,success,yes
35,student,married,tertiary,no,324,yes,no,cellular,may,1024,3,3,failure,yes
37,housemaid,married,secondary,no,319,no,no,unknown,jun,167,1,0,unknown,no
71,retired,married,secondary,no,1824,no,no,cellular,oct,505,1,0,unknown,yes
37,management,married,tertiary,no,1209,no,no,cellular,apr,231,1,0,unknown,yes
35,unknown,married,primary,no,472,no,no,cellular,jul,204,2,0,unknown,no
37,blue-collar,married,primary,no,4602,yes,no,cellular,may,348,1,0,unknown,no
26,student,single,unknown,no,2453,no,no,cellular,feb,92,2,0,unknown,no
33,technician,married,secondary,no,521,yes,no,cellular,jan,266,1,1,other,no
29,admin.,married,secondary,no,156,yes,no,cellular,may,1216,3,1,failure,no
46,blue-collar,married,secondary,no,-161,no,yes,cellular,aug,117,1,0,unknown,no
40,management,married,tertiary,no,248,no,no,cellular,jul,108,8,0,unknown,no
30,entrepreneur,single,tertiary,yes,-383,yes,yes,cellular,aug,698,2,0,unknown,yes
35,entrepreneur,married,tertiary,no,1767,yes,no,cellular,jul,223,2,0,unknown,no
52,management,single,tertiary,no,-28,no,no,cellular,aug,1203,6,0,unknown,yes
38,admin.,married,secondary,no,276,yes,no,cellular,jun,90,1,0,unknown,yes
40,entrepreneur,married,tertiary,no,992,yes,no,cellular,aug,873,3,1,other,yes
41,blue-collar,married,secondary,no,531,no,no,cellular,jul,316,2,0,unknown,yes
37,admin.,single,secondary,no,54,yes,no,cellular,may,23,2,5,failure,no
39,blue-collar,married,primary,no,113,no,no,unknown,may,797,1,0,unknown,yes
42,blue-collar,married,primary,no,-137,no,no,cellular,jul,67,5,0,unknown,no
40,admin.,single,unknown,no,441,yes,no,cellular,apr,350,2,6,other,no
51,blue-collar,married,primary,no,4851,no,yes,unknown,jun,76,7,0,unknown,no
78,retired,divorced,secondary,no,3350,no,no,cellular,feb,148,1,0,unknown,yes
31,technician,single,tertiary,no,2941,yes,no,cellular,may,520,2,0,unknown,yes
55,blue-collar,married,secondary,no,3893,yes,no,cellular,may,566,1,0,unknown,yes
55,technician,divorced,secondary,no,170,yes,no,unknown,may,167,3,0,unknown,no
39,blue-collar,married,secondary,no,275,yes,no,unknown,may,207,2,0,unknown,no
29,blue-collar,single,secondary,no,125,yes,no,cellular,may,260,3,0,unknown,no
38,blue-collar,single,secondary,no,-107,no,no,cellular,aug,219,2,1,failure,no
58,management,married,tertiary,no,1268,no,no,cellular,sep,399,2,1,success,yes
48,management,married,secondary,no,2763,no,no,cellular,jul,433,1,1,success,yes
39,blue-collar,single,primary,no,460,yes,no,cellular,feb,248,1,1,other,yes
28,management,single,tertiary,no,9671,no,no,cellular,oct,761,2,0,unknown,no
49,services,married,secondary,no,1370,yes,no,unknown,may,1103,1,0,unknown,no
38,services,single,tertiary,no,1218,yes,no,unknown,jun,237,2,0,unknown,no
41,blue-collar,married,primary,no,-65,yes,yes,unknown,may,246,1,0,unknown,no
46,management,married,tertiary,no,44,yes,no,cellular,may,473,2,1,failure,no
42,blue-collar,single,secondary,no,124,yes,no,unknown,may,943,3,0,unknown,yes
30,management,single,tertiary,no,351,yes,no,unknown,jun,168,9,0,unknown,no
35,blue-collar,divorced,secondary,no,1183,yes,yes,cellular,nov,145,2,0,unknown,no
47,housemaid,divorced,secondary,no,1269,no,no,unknown,jun,301,1,0,unknown,no
38,technician,married,secondary,no,1434,no,no,cellular,aug,91,12,0,unknown,no
64,management,married,unknown,no,2019,no,no,cellular,may,176,2,11,success,yes
41,self-employed,married,secondary,no,-152,no,no,unknown,jun,70,1,0,unknown,no
40,management,married,secondary,no,640,yes,no,cellular,apr,73,2,1,failure,no
39,blue-collar,married,secondary,no,956,yes,yes,cellular,may,203,1,0,unknown,no
44,management,married,tertiary,no,1256,no,no,unknown,oct,295,1,0,unknown,yes
56,management,divorced,tertiary,no,322,yes,no,cellular,may,371,2,1,failure,no
38,management,married,tertiary,no,1519,yes,no,cellular,jan,45,2,0,unknown,no
41,blue-collar,married,secondary,no,471,yes,no,cellular,may,851,1,1,failure,yes
59,technician,divorced,secondary,no,2857,yes,no,cellular,aug,396,2,0,unknown,no
26,student,single,unknown,no,992,no,no,cellular,jan,179,1,0,unknown,no
39,management,married,tertiary,no,-99,no,no,unknown,may,194,8,0,unknown,no
41,management,married,tertiary,no,-34,no,no,cellular,nov,323,1,0,unknown,no
28,technician,single,secondary,no,1743,yes,no,unknown,may,370,2,0,unknown,no
53,admin.,married,secondary,no,963,no,no,cellular,aug,69,2,0,unknown,no
74,retired,married,primary,no,2499,no,no,cellular,feb,417,2,3,success,yes
30,technician,single,secondary,no,-14,yes,no,cellular,may,72,1,0,unknown,no
30,management,single,tertiary,no,62,yes,no,cellular,may,160,2,0,unknown,no
39,self-employed,married,secondary,no,-252,yes,no,cellular,may,632,1,0,unknown,yes
38,entrepreneur,married,tertiary,no,648,no,yes,cellular,nov,83,2,1,failure,no
27,technician,single,secondary,no,-44,no,no,unknown,jul,643,2,0,unknown,yes
38,management,married,tertiary,no,320,no,no,cellular,apr,352,3,3,other,yes
47,admin.,married,secondary,no,496,no,no,cellular,aug,302,1,4,other,yes
57,admin.,married,secondary,no,554,no,no,cellular,nov,275,1,3,failure,yes
31,management,married,tertiary,no,1335,yes,no,cellular,aug,1154,4,0,unknown,yes
29,blue-collar,single,secondary,no,1268,no,no,telephone,jan,211,2,17,other,no
36,management,married,tertiary,no,-680,yes,no,cellular,jul,108,1,0,unknown,no
35,management,single,tertiary,no,2936,no,no,cellular,feb,700,1,0,unknown,yes
59,retired,divorced,tertiary,no,3288,no,no,cellular,aug,231,1,2,success,yes
47,self-employed,married,tertiary,no,1031,no,no,cellular,oct,782,1,0,unknown,yes
36,self-employed,married,secondary,no,1700,no,no,cellular,jul,600,2,0,unknown,yes
48,management,single,secondary,no,1472,no,yes,cellular,jul,265,1,0,unknown,no
26,services,single,secondary,no,242,no,no,telephone,jan,379,2,0,unknown,no
27,blue-collar,married,secondary,no,2865,yes,no,cellular,jul,989,1,0,unknown,yes
43,management,married,primary,no,5592,yes,no,cellular,may,575,2,1,success,yes
33,self-employed,single,tertiary,no,-115,no,no,cellular,aug,846,3,0,unknown,yes
37,admin.,married,secondary,no,2108,yes,yes,cellular,jun,474,1,3,failure,yes
27,blue-collar,single,secondary,no,296,no,no,cellular,aug,118,1,0,unknown,yes
27,blue-collar,single,tertiary,no,489,no,no,cellular,nov,254,2,1,success,yes
32,admin.,single,secondary,no,217,yes,no,cellular,may,872,2,2,failure,yes
32,admin.,divorced,tertiary,no,973,no,no,cellular,may,414,2,0,unknown,yes
36,blue-collar,married,secondary,no,4682,yes,no,unknown,may,496,1,0,unknown,yes
38,blue-collar,single,secondary,no,796,yes,yes,telephone,nov,82,1,0,unknown,no
31,management,single,tertiary,no,-43,yes,no,unknown,may,380,2,0,unknown,no
27,blue-collar,single,tertiary,no,722,no,no,cellular,may,469,3,3,success,yes
59,services,married,secondary,no,377,yes,no,unknown,may,736,3,0,unknown,yes
37,management,single,tertiary,no,123,no,no,unknown,jun,1142,1,0,unknown,yes
52,management,married,tertiary,no,366,no,no,cellular,aug,98,4,0,unknown,no
37,self-employed,divorced,tertiary,no,1427,no,no,unknown,may,519,1,0,unknown,no
29,management,single,tertiary,no,-145,yes,no,cellular,feb,220,3,0,unknown,yes
34,blue-collar,single,secondary,no,400,no,no,cellular,apr,324,1,0,unknown,yes
40,services,married,secondary,no,620,yes,no,cellular,jul,385,3,0,unknown,yes
46,technician,married,secondary,no,749,yes,no,cellular,aug,192,3,0,unknown,no
33,services,married,secondary,no,929,no,yes,cellular,jul,144,2,0,unknown,no
26,admin.,single,tertiary,no,-20,no,no,cellular,jun,106,2,0,unknown,yes
47,unemployed,married,secondary,yes,161,no,no,cellular,nov,99,2,0,unknown,no
26,services,single,secondary,no,-334,yes,no,unknown,jun,81,9,0,unknown,no
49,blue-collar,married,tertiary,no,5496,yes,no,cellular,nov,85,3,0,unknown,no
44,admin.,divorced,secondary,no,95,yes,yes,cellular,feb,158,1,1,other,yes
42,blue-collar,married,primary,no,-133,yes,no,unknown,may,146,1,0,unknown,no
33,technician,married,secondary,no,80,no,no,cellular,jul,628,1,0,unknown,no
54,admin.,married,tertiary,no,162,no,no,unknown,may,649,2,0,unknown,yes
59,technician,married,primary,no,71,no,yes,cellular,jul,16,5,0,unknown,no
58,retired,married,primary,no,-179,no,no,cellular,jun,496,2,0,unknown,yes
56,management,married,tertiary,no,500,no,no,cellular,nov,168,2,0,unknown,no
46,admin.,married,secondary,no,3475,no,no,cellular,apr,447,1,0,unknown,yes
38,entrepreneur,married,tertiary,no,-190,no,no,cellular,jul,530,2,0,unknown,yes
49,technician,married,secondary,no,12,yes,yes,cellular,jul,69,4,0,unknown,no
60,blue-collar,married,unknown,no,2042,yes,no,cellular,may,967,2,0,unknown,yes
27,unemployed,single,secondary,no,524,no,no,cellular,oct,186,1,3,other,yes
37,technician,married,tertiary,no,161,yes,no,cellular,aug,168,1,1,success,yes
35,entrepreneur,single,tertiary,no,1345,yes,no,cellular,may,104,1,12,other,no
47,self-employed,married,primary,no,3095,no,no,cellular,aug,75,8,0,unknown,no
33,services,single,secondary,no,249,no,no,cellular,jul,781,1,0,unknown,yes
68,retired,divorced,tertiary,no,511,no,no,cellular,aug,439,1,0,unknown,yes
36,management,married,tertiary,no,1628,no,no,telephone,feb,27,2,1,failure,no
23,blue-collar,single,secondary,no,346,yes,no,cellular,may,192,1,2,other,no
54,admin.,married,unknown,no,156,no,no,telephone,apr,496,2,2,failure,yes
43,unemployed,divorced,secondary,no,1650,no,no,cellular,apr,318,1,0,unknown,yes
30,management,single,tertiary,no,8355,no,no,cellular,jun,395,2,0,unknown,yes
36,self-employed,divorced,tertiary,no,1445,yes,no,unknown,may,748,2,0,unknown,yes
41,management,married,tertiary,no,221,yes,yes,unknown,may,141,3,0,unknown,no
38,admin.,married,secondary,no,-390,yes,no,cellular,apr,677,2,0,unknown,no
34,self-employed,married,tertiary,no,1946,yes,no,cellular,jul,32,2,0,unknown,no
29,admin.,single,tertiary,no,366,yes,no,cellular,feb,742,2,0,unknown,yes
34,services,single,tertiary,no,3134,no,no,cellular,oct,325,1,0,unknown,yes
41,management,married,tertiary,no,-327,no,no,cellular,nov,676,3,0,unknown,yes
44,blue-collar,married,secondary,no,259,yes,no,unknown,may,56,2,0,unknown,no
44,technician,divorced,secondary,no,6928,no,no,cellular,nov,199,1,2,failure,no
52,management,divorced,tertiary,no,6403,yes,no,telephone,jul,190,2,0,unknown,no
33,blue-collar,married,secondary,no,671,yes,no,cellular,apr,651,2,0,unknown,yes
47,admin.,single,secondary,no,3567,no,no,cellular,jan,743,4,0,unknown,yes
29,blue-collar,married,secondary,no,7680,yes,no,cellular,may,1130,1,0,unknown,yes
37,unemployed,divorced,secondary,no,984,no,no,cellular,aug,412,3,0,unknown,yes
39,admin.,single,unknown,no,88,yes,no,cellular,may,63,1,0,unknown,no
35,management,married,tertiary,no,1271,no,no,cellular,sep,205,1,0,unknown,yes
36,technician,single,tertiary,no,416,no,no,cellular,apr,269,1,0,unknown,yes
33,blue-collar,married,secondary,no,652,no,no,cellular,apr,157,1,0,unknown,yes
57,retired,divorced,secondary,no,-758,yes,no,cellular,may,225,1,2,failure,no
42,blue-collar,married,secondary,no,-70,yes,no,cellular,may,132,1,0,unknown,no
33,management,single,tertiary,no,930,no,no,cellular,feb,395,2,8,success,yes
59,management,married,tertiary,no,4694,no,no,telephone,nov,402,1,0,unknown,yes
50,blue-collar,married,primary,no,542,yes,yes,cellular,aug,23,3,0,unknown,no
35,services,married,secondary,no,4623,no,no,cellular,jun,154,1,5,success,yes
36,technician,married,secondary,no,110,no,no,cellular,aug,105,4,0,unknown,no
42,blue-collar,married,primary,no,1135,yes,no,cellular,nov,1048,1,0,unknown,yes
30,management,single,tertiary,no,1877,no,no,unknown,jun,299,2,0,unknown,no
77,retired,married,secondary,no,9354,no,no,telephone,mar,517,1,0,unknown,yes
57,management,married,tertiary,no,1274,no,no,cellular,jul,180,1,5,failure,no
41,technician,single,tertiary,no,333,no,no,cellular,jul,1822,2,0,unknown,yes
44,management,married,tertiary,no,-1698,yes,yes,cellular,may,272,1,0,unknown,no
30,technician,single,secondary,no,969,yes,no,unknown,nov,170,1,0,unknown,yes
38,management,married,tertiary,no,38,no,no,cellular,sep,252,12,6,failure,no
57,self-employed,married,unknown,no,-55,no,no,cellular,aug,154,1,0,unknown,no
28,admin.,married,secondary,no,228,yes,yes,cellular,jul,149,2,0,unknown,no
30,technician,married,secondary,no,1956,no,no,cellular,dec,437,1,2,failure,yes
32,student,single,tertiary,no,7630,no,no,cellular,oct,357,1,0,unknown,yes
35,admin.,single,secondary,no,2766,no,no,unknown,jun,30,12,0,unknown,no
29,management,single,tertiary,no,384,yes,no,cellular,dec,378,3,0,unknown,yes
39,management,married,tertiary,no,438,no,no,cellular,sep,213,1,5,success,yes
43,blue-collar,married,secondary,no,837,yes,yes,cellular,nov,1251,2,2,other,yes
37,blue-collar,married,secondary,yes,-597,yes,yes,unknown,jun,7,3,0,unknown,no
51,management,married,tertiary,yes,-26,no,yes,cellular,jul,189,6,0,unknown,no
61,self-employed,married,tertiary,no,3576,no,no,cellular,feb,184,3,0,unknown,no
33,management,divorced,tertiary,no,2287,no,no,cellular,mar,307,2,1,success,yes
37,blue-collar,married,secondary,no,1446,no,no,unknown,jun,296,2,0,unknown,no
31,management,single,tertiary,no,12577,yes,no,cellular,feb,201,1,1,success,yes
29,management,single,tertiary,no,442,no,no,cellular,aug,178,3,0,unknown,no
24,management,single,tertiary,no,2546,no,no,cellular,feb,490,1,0,unknown,yes
77,retired,married,secondary,no,398,no,no,telephone,apr,260,4,0,unknown,yes
34,blue-collar,single,primary,no,529,yes,no,unknown,may,355,1,0,unknown,no
28,student,single,tertiary,no,1279,no,no,cellular,oct,828,1,4,success,yes
49,management,married,tertiary,no,5413,yes,no,unknown,jun,801,1,0,unknown,yes
28,admin.,married,tertiary,no,309,yes,yes,cellular,feb,135,2,0,unknown,no
52,unemployed,married,secondary,no,510,yes,no,unknown,may,94,2,0,unknown,no
39,blue-collar,single,secondary,no,39,no,no,cellular,nov,1001,1,0,unknown,yes
71,retired,divorced,unknown,no,618,no,no,telephone,jul,287,2,0,unknown,yes
58,retired,married,secondary,no,245,no,no,unknown,may,366,3,0,unknown,no
40,retired,single,secondary,no,1559,no,no,unknown,jun,14,7,0,unknown,no
54,management,married,secondary,no,2885,yes,no,cellular,feb,11,2,1,failure,no
76,retired,divorced,secondary,no,2173,no,no,telephone,nov,155,1,0,unknown,no
33,self-employed,married,secondary,no,69,yes,yes,cellular,jul,133,4,0,unknown,no
46,blue-collar,married,primary,no,216,yes,no,unknown,may,488,5,0,unknown,yes
37,blue-collar,divorced,secondary,no,-35,yes,no,cellular,apr,124,4,0,unknown,yes
29,management,single,tertiary,no,5653,yes,no,cellular,feb,221,1,1,success,yes
59,blue-collar,married,secondary,no,2537,no,no,cellular,jan,68,2,0,unknown,no
47,entrepreneur,married,tertiary,no,-119,no,no,telephone,nov,106,2,0,unknown,no
24,admin.,single,secondary,no,701,yes,yes,unknown,may,218,1,0,unknown,no
44,admin.,married,unknown,no,120,no,yes,unknown,may,175,2,0,unknown,no
36,blue-collar,single,secondary,no,360,yes,no,cellular,may,630,1,0,unknown,yes
62,retired,married,secondary,no,-109,no,no,cellular,aug,143,1,0,unknown,no
37,entrepreneur,married,tertiary,no,7874,no,no,cellular,nov,108,1,0,unknown,no
38,technician,divorced,secondary,no,1462,yes,yes,cellular,aug,82,7,0,unknown,no
33,management,married,tertiary,no,2046,yes,no,unknown,jun,119,4,0,unknown,no
50,technician,married,primary,no,536,no,no,unknown,jun,25,3,0,unknown,no
42,management,divorced,secondary,no,-380,no,no,cellular,jul,180,1,0,unknown,no
56,blue-collar,married,secondary,no,1359,no,no,unknown,jun,922,1,0,unknown,yes
43,technician,married,secondary,no,8041,yes,no,cellular,aug,216,2,0,unknown,no
41,technician,married,secondary,no,1895,no,no,cellular,aug,121,2,0,unknown,no
45,admin.,married,unknown,no,6,no,yes,unknown,may,139,2,0,unknown,no
38,blue-collar,married,secondary,no,-145,yes,no,unknown,may,233,1,0,unknown,no
41,services,married,tertiary,no,1055,no,no,cellular,oct,245,3,0,unknown,yes
30,blue-collar,married,primary,no,6177,yes,yes,cellular,nov,418,1,1,failure,no
46,technician,divorced,secondary,no,249,no,no,cellular,jul,219,1,0,unknown,no
39,services,married,secondary,no,-341,yes,no,cellular,jul,180,10,0,unknown,no
24,blue-collar,single,secondary,no,-107,yes,no,cellular,jul,663,1,0,unknown,yes
31,technician,single,secondary,no,1679,yes,no,unknown,may,219,2,0,unknown,no
34,housemaid,married,tertiary,no,1042,no,no,cellular,aug,210,4,0,unknown,no
41,admin.,married,secondary,no,366,yes,no,cellular,may,324,1,5,success,yes
48,technician,divorced,tertiary,no,2181,no,no,cellular,aug,135,7,0,unknown,no
61,retired,married,secondary,no,478,no,no,cellular,nov,727,2,0,unknown,yes
53,management,married,tertiary,no,3929,no,no,cellular,may,220,4,8,success,yes
37,technician,married,secondary,no,1879,yes,no,cellular,jul,121,2,2,other,no
25,student,single,tertiary,no,38,no,no,cellular,jul,105,5,0,unknown,yes
23,unemployed,single,secondary,no,2364,no,no,cellular,may,371,2,0,unknown,yes
41,self-employed,married,secondary,no,33,no,no,cellular,aug,52,4,0,unknown,no
32,services,single,secondary,no,-74,yes,no,cellular,may,11,8,7,other,no
40,entrepreneur,married,tertiary,no,3501,no,no,unknown,jun,223,3,0,unknown,no
67,retired,married,secondary,no,2736,yes,no,telephone,jul,553,2,0,unknown,yes
28,management,single,tertiary,no,624,yes,no,cellular,feb,326,1,0,unknown,no
27,technician,single,tertiary,no,707,no,no,cellular,jan,856,2,0,unknown,yes
44,technician,single,tertiary,no,17,no,no,cellular,aug,81,4,0,unknown,no
41,housemaid,married,tertiary,no,896,yes,no,unknown,may,721,3,0,unknown,no
33,technician,married,secondary,yes,173,yes,no,unknown,may,635,1,0,unknown,no
70,housemaid,divorced,primary,no,1359,no,no,cellular,nov,306,2,1,success,yes
34,admin.,married,secondary,no,-90,yes,no,cellular,apr,624,1,1,failure,no
39,blue-collar,married,secondary,no,233,yes,no,cellular,jul,174,4,0,unknown,no
71,retired,married,primary,no,814,no,no,cellular,apr,395,2,0,unknown,yes
57,blue-collar,married,primary,no,8343,no,no,unknown,jun,8,11,0,unknown,no
24,blue-collar,married,secondary,no,989,yes,no,cellular,apr,388,1,0,unknown,no
50,blue-collar,married,primary,no,-252,yes,no,unknown,may,88,3,0,unknown,no
55,technician,divorced,secondary,no,1047,no,yes,cellular,jul,676,1,0,unknown,yes
39,entrepreneur,married,secondary,no,1128,yes,no,telephone,jul,48,2,0,unknown,no
37,blue-collar,married,secondary,no,270,yes,yes,cellular,may,493,1,0,unknown,no
58,management,married,tertiary,no,1433,no,no,cellular,jul,184,1,5,failure,no
43,services,married,secondary,no,112,yes,yes,cellular,may,647,4,1,failure,yes
36,management,single,tertiary,no,1696,yes,no,unknown,may,152,2,0,unknown,no
27,management,single,tertiary,no,1876,no,no,cellular,apr,264,1,0,unknown,yes
82,retired,married,secondary,no,61,no,no,telephone,feb,316,1,0,unknown,yes
55,management,married,primary,no,2628,no,no,cellular,sep,355,2,2,success,yes
45,technician,single,secondary,no,406,yes,no,cellular,aug,1746,4,0,unknown,yes
26,admin.,single,secondary,no,1177,no,no,cellular,mar,161,4,0,unknown,no
42,admin.,married,secondary,no,-4,yes,no,unknown,may,23,24,0,unknown,no
27,self-employed,single,tertiary,no,1506,no,no,cellular,jan,171,1,3,failure,yes
22,student,single,secondary,no,258,no,no,cellular,feb,223,3,2,success,yes
52,admin.,divorced,secondary,no,2084,yes,no,unknown,may,59,1,0,unknown,no
45,self-employed,single,tertiary,no,1564,yes,no,cellular,apr,1200,3,1,other,yes
41,management,married,tertiary,no,280,yes,no,unknown,may,506,2,0,unknown,no
54,technician,married,secondary,no,1016,yes,no,cellular,feb,230,1,1,failure,no
30,blue-collar,married,secondary,no,3130,no,no,unknown,may,186,2,0,unknown,no
35,admin.,single,tertiary,no,1053,no,no,cellular,apr,401,1,2,failure,yes
28,management,single,tertiary,no,1911,no,no,cellular,jun,211,1,8,other,yes
35,technician,married,tertiary,no,1362,no,no,cellular,jun,257,2,0,unknown,yes
57,admin.,married,secondary,no,166,no,no,cellular,nov,296,1,3,failure,yes
30,admin.,married,secondary,no,650,yes,no,unknown,may,719,3,0,unknown,yes
32,admin.,married,tertiary,no,324,no,no,unknown,jul,163,2,0,unknown,no
34,technician,single,secondary,no,1265,yes,no,cellular,oct,352,3,10,success,yes
50,services,married,secondary,no,563,yes,yes,unknown,may,45,2,0,unknown,no
57,management,divorced,unknown,no,115,no,no,unknown,may,89,1,0,unknown,no
47,entrepreneur,married,secondary,no,0,no,no,unknown,jun,555,2,0,unknown,no
44,blue-collar,married,secondary,no,1211,yes,no,unknown,jun,217,1,0,unknown,no
26,student,single,secondary,no,-95,no,no,cellular,feb,1234,2,0,unknown,yes
47,admin.,married,secondary,no,259,yes,no,cellular,jul,1370,2,0,unknown,yes
29,self-employed,single,tertiary,no,599,no,no,cellular,mar,266,1,0,unknown,yes
50,unemployed,married,secondary,no,3423,yes,no,unknown,may,325,3,0,unknown,no
23,blue-collar,single,secondary,yes,-203,yes,no,unknown,jun,484,3,0,unknown,yes
33,technician,married,secondary,no,3740,yes,no,cellular,nov,103,2,0,unknown,no
48,admin.,married,unknown,no,3658,no,no,cellular,aug,49,10,0,unknown,no
23,admin.,married,secondary,no,164,yes,no,unknown,jun,126,1,0,unknown,no
46,management,married,tertiary,no,527,no,no,cellular,sep,413,3,0,unknown,no
53,management,married,tertiary,no,-745,yes,no,unknown,may,506,2,0,unknown,no
48,technician,married,primary,no,491,no,no,cellular,sep,410,2,3,success,yes
31,management,married,tertiary,no,642,no,no,cellular,aug,209,5,0,unknown,no
43,technician,married,tertiary,no,14249,yes,no,cellular,aug,663,4,0,unknown,yes
32,technician,married,secondary,no,618,yes,no,cellular,jul,895,1,0,unknown,yes
41,management,married,secondary,yes,-32,no,no,cellular,feb,177,1,0,unknown,no
44,technician,divorced,secondary,no,613,yes,no,unknown,aug,2,1,1,success,no
54,services,married,secondary,no,2599,yes,no,unknown,may,577,1,0,unknown,yes
40,technician,single,secondary,no,-140,yes,no,cellular,apr,534,1,0,unknown,yes
